messy_name	clean_name
[EMBER] Kaiju No.9 (2022) WEBrip AACx265-EMBER	kaiju_no_9
[EMBER] Vanitas-no-Karte (2020) 10bit DD 2.0 EDGE2020 WEBrip AAC x265-EMBER	vanitas_no_karte
Ninja to Koroshiya no Futarigurashi | A Ninja and an Assassin Under One Roof v01-03 (2025-2026) (Digital) (1r0n, Ushi)	ninja_to_koroshiya_no_futarigurashi
Am I Actually the Strongest? v01-18 (2020-2026) (Digital) (1r0n, Ushi)	am_i_actually_the_strongest
[TokuHoard] Kakusei Hunter Omegahorn - (AMZN 1080p)	kakusei_hunter_omegahorn
[Doomdos] - Raised by Demons Panda Li - [1080p IQ WEB-DL]	raised_by_demons_panda_li
[Ironclad] Sousou no Frieren - [BD.1080p.AV1] | Frieren: Beyond Journey's End (Multi-Audio, Multi-Subs)	sousou_no_frieren
[FS] Date A Live - Mayuri Judgement [BD 1920x1080 x264 AAC][Sub_Esp][MP4]	date_a_live_mayuri_judgement
[ANi] Kamen Rider ZEZTZ / 假面騎士 ZEZTZ - [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4]	kamen_rider_zeztz
[ToonsHub] mofusand animation 1080p AMZN WEB-DL DDP2.0 H.264	mofusand_animation
[sam] Grand Blue Dreaming - S03E06 (WEB 1080p HEVC x265 10-bit EAC-3).mov	episode_06.mov
[BlackRose] Rich Girl Caretaker - S01E07 (WEB 1080p HEVC 10-bit EAC-3) | Saijo no Osewa.mp4	episode_07.mp4
[Judas] Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10-nen ga Tattara Densetsu ni Natte Ita (I Became a Legend After My 10 Year-Long Last Stand) - S01E07 [1080p][HEVC x265 10bit][Multi-Subs] (Weekly)	episode_07
[Commie] The Ghost in the Shell - 07 [792D9033].mkv	episode_07.mkv
Tsue.to.Tsurugi.no.Wistoria.S02E12.FiNAL.MULTi.1080p.WEBRiP.x265-KAF	episode_12
[Erai-raws] Tsue to Tsurugi no Wistoria 2nd Season - 12 [720p CR WEB-DL AVC AAC][MultiSub][5FE7D4DD]	episode_12
[NVN] Witch Hat Atelier - S01E13 [WEBRip HEVC 1080p] [Sub. Español].mov	episode_13.mov
[Yameii] Witch Hat Atelier - S01E11 [English Dub] [CR WEB-DL 1080p H264 AAC] [DC7B989F] (Tongari Boushi no Atelier).mp4	episode_11.mp4
The Fearsome Witch Teaches in Another World - Ms. Aoi's Lesson Plans - E4 (2025-2026) (Digital) (Ushi)	episode_04
[Erai-raws] Digimon Beatbreak - 43 [1080p CR WEBRip HEVC AAC][MultiSub][BB4236AA].mkv	episode_43.mkv
Season 1	season_01
Part 1	season_01
Season02	season_02
S1	season_01
season 4	season_04
[LinRip] Mobile Suit Gundam GQuuuuuuX -Beginning- [BDRip 1080p HEVC-10bit FLAC AC3] (MultiSubs)	mobile_suit_gundam_gquuuuuux
[Xspitfire911] Ore dake Level Up na Ken - Solo Leveling S01 + S02 BDRIP 1080p X265 10bit VOSTFR	ore_dake_level_up_na_ken
[Xspitfire911] Mob Psycho 100 S01 > S03 BDRIP 1080p X265 10bit VOSTFR	mob_psycho_100
[SubsPlease] Tsue to Tsurugi no Wistoria (1080p) [Batch]	tsue_to_tsurugi_no_wistoria
Tsue.to.Tsurugi.no.Wistoria.MULTi.1080p.WEBRiP.x265-KAF	tsue_to_tsurugi_no_wistoria
[FLE] Witch Hat Atelier - (WEB 1080p HEVC E-AC-3) [Dual Audio] | Tongari Boushi no Atelier Season 1	witch_hat_atelier
S01Part1	season_01
Part1S1	season_01
[Greek-Nakama] Jujutsu Kaisen S3 - 11 [1080p][23A8C866].mkv	episode_11.mkv
[SonicMaster] Jujutsu Kaisen Season 3 [BD Remux 1080p AVC FLAC 2.0]	season_03
Jujutsu.Kaisen.S03E07.MULTi.1080p.BluRay.x265-KAF	episode_07
[Shiniori-Raws] Jujutsu Kaisen Hidden Inventory Premature Death (BD 1280x720 x264 10bit AAC)	jujutsu_kaisen_hidden_inventory_premature_death
Jujutsu Kaisen (2021-2026) (Digital) (1r0n, Rillant)	jujutsu_kaisen
[Vodes] Jigokuraku - S02E12 (WEB 1080p HEVC AAC) | Hell's Paradise S2.mkv	episode_12.mkv
[DB] Jigokuraku 2nd Season | Hell's Paradise Season 2 [Dual Audio 10bit BD1080p][HEVC-x265]	season_02
[Anime Time] Hell's Paradise (Jigokuraku) (Season 1) [BD] [Dual Audio][1080p][HEVC 10bit x265][OPUS][Eng Sub] [Batch]	season_01
S2	season_02
part_3	season_03
[Doomdos] - UNDER THE GATE - 9 [1080p IQ WEB-DL]	episode_09
[Xspitfire911] Samurai Champloo BDRIP 1080p X265 10bit VOSTFR	samurai_champloo
[Xspitfire911] Samurai Champloo - Season 6 BDRIP 1080p X265 10bit VOSTFR	season_06
[Xspitfire911] Samurai Champloo - S1E6 BDRIP 1080p X265 10bit VOSTFR.mp4	episode_06.mp4
[Erai-raws] Yoroi-Shinden Samurai Troopers Part 2 - 07 [1080p CR WEBRip HEVC AAC][MultiSub][58DB7293].avi	episode_07.avi
[Erai-raws] Yoroi-Shinden Samurai Troopers Part 2 [1080p CR WEBRip HEVC AAC][MultiSub][58DB7293]	season_02
[Erai-raws] Yoroi-Shinden Samurai Troopers [1080p CR WEBRip HEVC AAC][MultiSub][58DB7293]	yoroi_shinden_samurai_troopers
[Erai-raws] Kimi ga Shinu made Koi wo Shitai - 07 [1080p CR WEBRip HEVC AAC][MultiSub][19386605]	episode_07
[Erai-raws] Kimi ga Shinu made Koi wo Shitai [1080p CR WEBRip HEVC AAC][MultiSub][19386605]	kimi_ga_shinu_made_koi_wo_shitai
[Erai-raws] Kimi ga Shinu made Koi wo Shitai - S1 [1080p CR WEBRip HEVC AAC][MultiSub][19386605]	season_01
[denisplay] Azur Lane - Bisoku Zenshin! S2 - 07 [480p] [AV1].mov	episode_07.mov
[denisplay] Azur Lane - Bisoku Zenshin! S2 [480p] [AV1]	season_02
[denisplay] Azur Lane - Bisoku Zenshin! [480p] [AV1]	azur_lane_bisoku_zenshin
[Commie] The Ghost in the Shell - S02 [792D9033].mkv	season_02
[Commie] The Ghost in the Shell - [792D9033].mkv	the_ghost_in_the_shell
[AsukaRaws] Mujikaku Seijo - 08 (WEB-DL 1280x720 x264 AAC).mkv	episode_08.mkv
[AsukaRaws] Mujikaku Seijo - S01 (WEB-DL 1280x720 x264 AAC)	season_01
[AsukaRaws] Mujikaku Seijo - (WEB-DL 1280x720 x264 AAC)	mujikaku_seijo
[shincaps] BLEACH Sennen Kessen-hen ~Kashin-tan~ - 04 (BS-TX 1440x1080 MPEG2 AAC).mp4	episode_04.mp4
[shincaps] BLEACH Sennen Kessen-hen ~Kashin-tan~ - (BS-TX 1440x1080 MPEG2 AAC).ts	bleach_sennen_kessen_hen
[shincaps] One Piece - 710 (FujiTWO 1440x1080 MPEG2 AAC)	episode_710
[shincaps] One Piece - Season 1 (FujiTWO 1440x1080 MPEG2 AAC).ts	season_01
[shincaps] One Piece - (FujiTWO 1440x1080 MPEG2 AAC).ts	one_piece
[SubsPlease] Tai-Ari deshita. Ojousama wa Kakutou Game nante Shinai - S01E07 (720p) [39621D9B].mkv	episode_07.mkv
[SubsPlease] Tai-Ari deshita. Ojousama wa Kakutou Game nante Shinai - S1 (720p) [39621D9B].mkv	season_01
[SubsPlease] Tai-Ari deshita. Ojousama wa Kakutou Game nante Shinai (720p) [39621D9B].mkv	tai_ari_deshita_ojousama_wa_kakutou_game_nante_shinai
season2part2	season_02
part2season2	season_02
ep01.avi	episode_01.avi
E07.mkv	episode_07.mkv
Long name title - Season 1 Episode 1.mp4	episode_01.mp4
Long name title - Season 1	season_01
Long name title	long_name_title
s1part1	season_01
se1	season_01
Se04	season_04
S02Part1	season_02
S03Part3	season_03
season 4 part 4	season_04
S05P1	season_05
Long name title - S02 E01.mov	episode_01.mov
Long name title - S1E5.avi	episode_05.avi
S04Part4	season_04
[TokuHoard] Kakusei Hunter Omegahorn - S5E9 (AMZN 1080p).mkv	episode_09.mkv
[TokuHoard] Kakusei Hunter Omegahorn - S5E3 (AMZN 1080p).mov	episode_03.mov
[TokuHoard] Kakusei Hunter Omegahorn - S3 (AMZN 1080p)	season_03
[EMBER] One Piece - 93 (FujiTWO 1440x1080 MPEG2 AAC).mkv	episode_93.mkv
[shincaps] One Piece - 31 (FujiTWO 1440x1080 MPEG2 AAC).avi	episode_31.avi
[DB] Jigokuraku 2nd Season | Hell's Paradise [Dual Audio 10bit BD1080p][HEVC-x265]	season_02
[DB] Jigokuraku | Hell's Paradise [Dual Audio 10bit BD1080p][HEVC-x265]	jigokuraku
[DB] Jigokuraku 2nd Season | Hell's Paradise Season 2 Episode 3[Dual Audio 10bit BD1080p][HEVC-x265]	episode_03
[EMBER] Kaiju No.9 (2022) S1 WEBrip AACx265-EMBER	season_01
[EMBER] Kaiju No.9 S03 WEBrip AACx265-EMBER	season_03
[EMBER] Kaiju No.9 (2022) Ep03 WEBrip AACx265-EMBER.mov	episode_03.mov
[EMBER] Kaiju No.9 S1E1 WEBrip AACx265-EMBER.mkv	episode_01.mkv
Kaiju No9 2022 WEBrip - EMBER	kaiju_no_9
Lupin the 3rd 1990 (Dual Audio)	lupin_the_3rd
Lupin the 3 s1e1	episode_01
Kaiju No 9 Season 1 Episode 1.mkv	episode_01.mkv
[DB] Kaiju No.9 WEBrip AACx265-EMBER	kaiju_no_9
[shincaps] Kaiju-No-9 (FujiTWO 1440x1080 MPEG2 AAC)	kaiju_no_9
[shincaps] Kaiju No.9 (2022) WEBrip AACx265-EMBER	kaiju_no_9
[DB] Kaiju No.9 (2022) WEBrip AACx265-EMBER	kaiju_no_9
[AYN] UFO Robo Grendizer S02 1080p BluRay x265 FLAC 2.0	season_02
[AYN] UFO Robo Grendizer S01E02 1080p BluRay x265 FLAC 2.0.mkv	episode_02.mkv
[AYN] UFO Robo Grendizer 1080p BluRay x265 FLAC 2.0	ufo_robo_grendizer
season 1 ep 2.mkv	episode_02.mkv
S2E2	episode_02
Part2 Episode 2	episode_02
[DB]Vanitas no Karte_-_02_(Dual Audio_10bit_BD1080p_x265)	episode_02
[DB]Vanitas no Karte_-_02_(Dual Audio_10bit_BD1080p_x265).mov	episode_02.mov
[SubsPlease] Tsue to Tsurugi no Wistoria S2 (1080p) [Batch]	season_02
[Raze] Tomb Raider King (Dogulwang) - 07 (MultiSub) x265 10bit 1080p 143.8561fps.mkv	episode_07.mkv
[Erai-raws] Hanazakari no Kimitachi e 2nd Season - 09 [1080p CR WEBRip HEVC AAC][MultiSub][9083C752]	episode_09
[Erai-raws] Hanazakari no Kimitachi e 2nd Season [1080p CR WEBRip HEVC AAC][MultiSub][9083C752]	season_02
[Raze] Tomb Raider King (Dogulwang) - S7 (MultiSub) x265 10bit 1080p 143.8561fps.mkv	season_07
[SubsPlease] Toukutsu Ou - 07 (1080p) [93C2C269].mkv	episode_07.mkv
[Doomdos] - Hana-Kimi Season 2 - 21 [1080p IQ WEB-DL]	episode_21
[Raze] Tomb Raider King (Dogulwang) - (MultiSub) x265 10bit 1080p 143.8561fps	tomb_raider_king_dogulwang
[Erai-raws] Hanazakari no Kimitachi e [1080p CR WEBRip HEVC AAC][MultiSub][9083C752]	hanazakari_no_kimitachi_e
[SubsPlease] Toukutsu Ou - Season 4 (1080p) [93C2C269]	season_04
[SubsPlease] Toukutsu Ou - (1080p) [93C2C269]	toukotsu_ou
[Erai-raws] Thunder 3 - 06 [1080p NF WEB-DL AVC AAC][MultiSub][5E2C18E4].mp4	episode_06.mp4
[Erai-raws] Thunder 3 - S03 [1080p NF WEB-DL AVC AAC][MultiSub][5E2C18E4]	season_03
[Erai-raws] Thunder 3 - [1080p NF WEB-DL AVC AAC][MultiSub][5E2C18E4]	thunder_3
HELL MODE The Hardcore Gamer Dominates in Another World with Garbage Balancing S02E03 1080p HIDI WEB-DL DUAL AAC2.0 H.264-VARYG (Hell Mode: Yarikomi-zuki no Gamer wa Haisettei no Isekai de Musou Suru 2nd Season, Dual-Audio).264	episode_03.264
HELL MODE The Hardcore Gamer Dominates in Another World with Garbage Balancing S03 1080p HIDI WEB-DL DUAL AAC2.0 H.264-VARYG (Hell Mode: Yarikomi-zuki no Gamer wa Haisettei no Isekai de Musou Suru 2nd Season, Dual-Audio) 	season_03
HELL MODE The Hardcore Gamer Dominates in Another World with Garbage Balancing 1080p HIDI WEB-DL DUAL AAC2.0 H.264-VARYG (Hell Mode: Yarikomi-zuki no Gamer wa Haisettei no Isekai de Musou Suru 2nd Season, Dual-Audio) 	hell_mode_the_hardcore_gamer_dominates_in_another_world_with_garbage_balancing
[ToonsHub] The Forsaken Saintess and Her Foodie Roadtrip in Another World S01E01 1080p HIDIVE WEB-DL DUAL AAC2.0 H.264 (Suterare Seijo no Isekai Gohantabi: Kakure Skill de Camping Car wo Shoukan Shimashita, Dual-Audio, English-Sub).264	episode_01.264
[ToonsHub] The Forsaken Saintess and Her Foodie Roadtrip in Another World S01 1080p HIDIVE WEB-DL DUAL AAC2.0 H.264 (Suterare Seijo no Isekai Gohantabi: Kakure Skill de Camping Car wo Shoukan Shimashita, Dual-Audio, English-Sub) 	season_01
[ToonsHub] The Forsaken Saintess and Her Foodie Roadtrip in Another World 1080p HIDIVE WEB-DL DUAL AAC2.0 H.264 (Suterare Seijo no Isekai Gohantabi: Kakure Skill de Camping Car wo Shoukan Shimashita, Dual-Audio, English-Sub) 	the_forsaken_saintess_and_her_foodie_roadtrip_in_another_world
[shincaps] Otome Game Sekai wa Mob ni Kibishii Sekai desu 2 - 08 (ANIPLUS 1920x1080 H264 AAC).264	episode_08.264
[shincaps] Otome Game Sekai wa Mob ni Kibishii Sekai desu 2 - S07 (ANIPLUS 1920x1080 H264 AAC)	season_07
[shincaps] Otome Game Sekai wa Mob ni Kibishii Sekai desu 2 - (ANIPLUS 1920x1080 H264 AAC)	otome_game_sekai_wa_mob_ni_kibishii_sekai_desu_2
